DR3Name,RA_ICRS,DE_ICRS,SolID,Source,RandomI,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,NewMatchObs,MatchObsrm,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,SDSk1,SDSk2,SDSk3,SDSk4,SDMk1,SDMk2,SDMk3,SDMk4,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,Vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,GLON,GLAT,ELON,ELAT,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,PQSO,PGal,PSS,Teff,b_Teff,B_Teff,logg,b_logg,B_logg,[Fe/H],b_[Fe/H],B_[Fe/H],Dist,b_Dist,B_Dist,A0,b_A0,B_A0,AG,b_AG,B_AG,E(BP-RP),b_E(BP-RP),B_E(BP-RP),Lib,HIP,dHIP,nHIP,f_HIP,PS1coid,PS1,dPS1,nPS1,mPS1,f_PS1,SDSS13coid,SDSS13,dSDSS13,nSDSS13,mSDSS13,f_SDSS13,SKYM2,dSKYM2,nSKYM2,mSKYM2,f_SKYM2,TYC2,dTYC2,f_TYC2,TYC2moid,nTYC2,URAT1,dURAT1,f_URAT1,URAT1oid,nURAT1,mURAT1,AllWISE,dAllWISE,f_AllWISE,AllWISEoid,nAllWISE,mAllWISE,APASS9coid,APASS9,dAPASS9,nAPASS9,mAPASS9,f_APASS9,GSC23,dGSC23,f_GSC23,GSC23coid,nGSC23,mGSC23,RAVE5,dRAVE5,f_RAVE5,RAVE5coid,nRAVE5,2MASS,d2MASS,f_2MASS,2MASScoid,n2MASS,m2MASS,RAVE6,dRAVE6,f_RAVE6,RAVE6oid,nRAVE6,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000
"Gaia DR3 4064949704026275328",272.92283614054,-25.47084898627,1636148068921376768,4064949704026275328,857776856,0.4434,0.3909,4.0,0.593,6.7457,13.547,-12.689,0.598,-4.745,0.395,0.5483,-0.1345,-0.083,-0.3395,-0.3304,-0.0653,-0.5245,-0.6075,0.2047,0.2777,192,0,192,0,3.4888,273.97504,1.586,3.6281226,95,0,,1.3843,0.1042,-0.022,0.097,0.083,-0.211,-0.351,22,11,0.885545,22,9,0,0.08891847,51.46764,4,0,1.184,0.18805636,0.5410782,0.29228503,0.73573714,-100.128,-29.429,-34.963,-41.385,0,191,298.41145,3.0090966,99.169785,19.500328,0.01129,20,102.70636135158315,10.897014,9.425184,20.30955,0.115229,19,611.2886549859703,17.058065,35.835754,17.78228,0.030532,2.393,0,20,0,19,0,2.527269,0.809221,1.718048,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",5.89734884692,-3.29334169015,272.64025559649,-2.05835222532,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999993,,,,,,,,,,,,,,,,,,,,,,,,,,,218381133,77432729227875380,0.045709,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.92289860802,-25.47082789572,9.608277,6.53176,0.2879
"Gaia DR3 2965093761570312704",84.67093299908,-21.63683747538,1636148068921376768,2965093761570312704,1376138429,0.3233,0.5478,4.0,0.8335,4.799,10.172,-6.71,0.432,-7.646,0.666,-0.0589,-0.2511,0.4702,-0.1795,0.2893,-0.3372,-0.2313,-0.305,-0.0059,0.1583,675,0,672,3,0.6424,800.47516,1.712,1.7446438,95,0,,1.1753,0.1063,0.058,0.011,-0.171,0.24,-0.107,78,21,0.94738,80,29,2,0.06679525,125.94522,0,0,1.017,0.14424545,0.51158816,0.26853728,0.3601707,-25.547,-87.63,58.019,-5.236,0,655,109.83666,0.48744842,225.32982,20.585499,0.005551,40,28.6974803403396,3.1401894,9.138774,21.693933,0.118838,73,158.97251556871882,4.8829527,32.556637,19.24459,0.033563,1.709,0,2,0,1,0,2.449343,1.108435,1.340908,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",225.4366708167,-25.23693236003,82.99376124675,-44.94659650739,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999988,,,,,,,,,,,,,,,,,,,,,,,,,,,352325834,82030846709506093,0.00827,1,0,8,,,,,,,,,,,,,,,,,,,,,,,"J053841.02-213812.3",0.176366,8,255183571,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.67096507972,-21.63680349439,6.759677,10.795227,0.1855
"Gaia DR3 4118872541687732864",266.95163071239,-20.75435955452,1636148068921376768,4118872541687732864,1532174700,1.2506,0.9685,4.0,0.9864,4.0553,9.734,-7.297,1.241,-6.442,0.846,0.7213,-0.178,-0.2364,-0.4844,-0.3672,-0.2937,-0.811,0.0213,0.4029,0.5047,281,0,277,4,0.1395,305.601,0.0,0.0,95,0,,1.0117,0.1846,-0.217,-0.13,0.064,0.114,-0.029,32,11,2.041247,32,25,0,0.10044238,112.87541,3,0,1.005,0.55667275,0.8252325,0.49939185,0.50524795,178.014,-15.238,55.754,-15.573,0,271,117.65112,1.0697703,109.97792,20.510878,0.01025,11,51.634046202476256,6.4486485,8.006956,21.056202,0.135628,13,278.6523453879993,14.319176,19.460083,18.635239,0.055921,2.807,0,11,0,13,0,2.420963,0.545324,1.875639,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",7.2605623057,3.81440412438,267.14656326923,2.65473226618,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999979,,,,,,,,,,,,,,,,,,,,,,,,,,,381974317,83092669516275221,0.297383,1,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.95166539348,-20.75433092199,20.188809,14.337622,0.5197
"Gaia DR3 3030174782541079936",112.67867968326,-14.34372076493,1636148068921376768,3030174782541079936,469971941,1.3343,1.7336,4.0,1.4258,2.8055,5.002,0.038,1.655,-5.002,1.961,-0.7391,0.0096,0.5261,-0.6296,0.0639,-0.5544,0.848,-0.0089,-0.1714,-0.6425,158,0,158,0,1.6093,190.79523,1.958,0.67335254,95,0,,0.9554,0.2791,-0.06,0.037,-0.354,-0.072,0.15,18,12,3.667285,24,4,1,0.019327568,78.05269,0,41,1.091,0.1984587,0.5211239,0.18808639,0.21782775,-117.049,36.4,-59.713,33.853,0,189,99.56387,0.9672212,102.93806,20.692112,0.010901,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",230.14915415856,1.95314636334,117.36849811904,-35.65306885785,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S3RL033301",1.753029,8,442439624,1,1,,,,,,,,,,,,,,,,,112.67867950877,-14.3436985349,25.799567,29.916403,-0.6266
"Gaia DR3 4098423824396125696",281.96913081703,-18.61240357233,1636148068921376768,4098423824396125696,1110410121,0.8453,0.8291,4.0,0.7825,5.1119,10.063,-3.202,1.011,-9.541,0.905,0.6635,-0.0308,-0.4738,-0.6,-0.1619,-0.502,-0.6413,-0.3413,0.1607,0.5198,182,0,181,1,11.7639,519.5905,3.813,13.902253,95,0,,1.52,0.1705,0.149,0.225,-0.066,-0.131,-0.236,21,14,1.832038,21,9,0,0.26239967,94.35191,0,0,1.688,0.17608513,0.30944645,0.35192215,0.86278844,-107.764,-31.21,-37.026,39.536,0,180,238.02889,2.6423204,90.08328,19.745792,0.012364,20,136.65034377117186,7.4430814,18.359379,19.999516,0.059204,15,208.42825212618192,11.738675,17.755688,18.950504,0.061265,1.45,0,12,0,9,0,1.049011,0.253723,0.795288,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",15.8732295692,-7.60990110176,281.36788617263,4.35579025744,0,0,0,0,0,0,0,0,0,0,0,9.0E-6,0.0,0.999982,,,,,,,,,,,,,,,,,,,,,,,,,,,450778743,85662819692105568,0.126913,1,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.96914583171,-18.61236116953,16.600104,15.024222,0.5467
"Gaia DR3 549714689578120704 ",64.4476819905,74.41157815198,1636148068921376768,549714689578120704,1485646728,1.1902,1.0117,4.0,1.5949,2.5079,4.602,0.128,1.293,4.6,1.318,-0.1571,-0.1886,-0.4708,0.0265,-0.1652,0.0191,0.0887,0.348,0.2035,-0.1202,193,0,191,2,5.0158,319.64264,5.481,8.308531,95,0,,1.4511,0.3212,0.006,0.016,-0.027,-0.19,0.296,22,18,1.98861,24,11,1,0.1398745,0.7605764,1,0,1.27,0.17750344,0.10281011,0.175948,0.45816904,-100.426,57.467,2.003,-10.12,0,207,85.32572,0.87432027,97.59092,20.859667,0.011461,17,41.09419847240173,7.357822,5.5851035,21.30409,0.194419,21,78.04175105523602,8.508867,9.171814,20.017078,0.118438,1.396,0,0,0,0,0,1.287012,0.444424,0.842588,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",135.64458392059,16.89493485318,79.16442834245,51.93358389699,0,0,0,0,0,0,0,0,0,0,0,2.0E-6,0.0,0.999995,,,,,,,,,,,,,,,,,,,,,,,,,,,2183009321,197290644476974726,0.019085,1,0,8,,,,,,,,,,,,,,,,,,,,,,,"J041747.50+742442.6",0.980867,8,733504709,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.44767987377,74.41155770702,21.26865,21.016263,-0.1201
"Gaia DR3 4038966118295146112",270.60546433866,-35.72743622621,1636148068921376768,4038966118295146112,479951686,1.3467,1.0847,4.0,2.0572,1.9444,5.146,-4.636,1.563,-2.234,0.913,0.6151,-0.0825,-0.2969,-0.5615,-0.5372,-0.0222,-0.7473,-0.6305,0.2743,0.3595,112,0,111,1,-1.8008,90.5654,0.0,0.0,95,0,,1.1218,0.2327,0.253,-0.002,0.197,-0.246,-0.23,13,9,2.453226,13,11,0,0.09910773,130.40768,13,23,0.875,0.33763844,0.59936756,0.14468637,0.4923334,179.032,-10.472,53.556,-26.534,0,111,186.16386,2.0695317,89.95458,20.012629,0.01238,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",355.91085965539,-6.48341642918,270.50305521364,-12.2892126969,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.60548971826,-35.72742629536,25.444092,15.431761,0.3664
"Gaia DR3 4035621163390813568",269.4605441888,-40.01389112455,1636148068921376768,4035621163390813568,698777132,1.4297,1.0826,4.0,1.4705,2.7202,7.692,-6.276,1.94,-4.448,0.991,0.523,0.2587,-0.5883,-0.4803,0.1876,-0.4332,-0.8246,-0.6201,-0.0591,0.3078,185,0,182,3,3.9695,275.99045,2.672,1.7371055,95,0,,1.3693,0.2668,0.202,0.174,0.187,-0.188,-0.336,22,12,3.015091,22,14,0,0.115984194,177.72656,0,0,1.217,0.33282316,0.58417636,0.32178468,0.25776902,-156.297,-7.23,-46.378,-28.793,0,179,116.89409,1.0196723,114.63888,20.517885,0.009864,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",351.69137102892,-7.77197745796,269.56893820463,-16.57541746722,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S8AS027946",1.888572,8,242203161,1,2,,,,,,,,,,,,,,,,,269.46058060844,-40.01387135683,31.901828,16.758409,0.3325
"Gaia DR3 1108974097861157504",110.56738952843,70.37076805436,1636148068921376768,1108974097861157504,1172762645,0.0113,0.0175,4.0,0.0199,200.6462,20.803,-15.327,0.015,-14.065,0.023,-0.0645,0.061,-0.1189,0.141,-0.0955,0.0906,-0.4832,0.2256,0.1284,0.03,500,0,499,1,0.2249,495.3031,0.0,0.0,31,0,1.378,,,,,,,,58,28,0.033011,68,28,1,0.014112413,167.39302,0,0,1.006,0.101537324,0.31905526,0.21777046,0.13768867,-108.919,-88.571,27.965,-39.957,0,569,24700.3254,5.165287,4781.985,14.70561,0.002765,63,8208.114213548291,10.911616,752.2363,15.552934,0.003141,65,23896.863116281944,15.52382,1539.3674,13.802043,0.003845,1.3,0,0,0,0,0,1.750891,0.847323,0.903567,-12.55,2.9,2,34,2,23,8.739007,,,993.617,,4250.0,4.5,0.5,101,,,,13.394142,0.046034,33,,"NOT_AVAILABLE",145.08328136378,28.00731737768,100.08972740522,47.65098249244,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,0.999591,4357.8,4355.7,4360.1,4.6713,4.6704,4.6717,0.4983,0.4937,0.5003,255.338,255.181,255.5182,0.7292,0.7248,0.7343,0.5334,0.5301,0.5372,0.2843,0.2826,0.2863,"MARCS  ",,,,,2166313216,192441105674495730,0.00309,1,0,8,,,,,,,,,,,,,,,,,"URAT1-802087199",0.013664,8,221572620,1,0,"J072216.18+702214.8",0.038016,8,725289903,1,0,56093501,7438452,0.135162,1,0,8,"N7UF000321",0.095336,8,919707891,1,0,,,,,,"07221622+7022149 ",0.053731,8,465494435,1,0,,,,,,110.5675923144,70.37083056724,0.247688,0.373249,0.0184
"Gaia DR3 5414212069418154496",154.06616129605,-45.1875900293,1636148068921376768,5414212069418154496,1340909153,1.6598,1.6604,4.0,1.914,2.0899,7.71,-2.832,2.377,-7.171,2.455,0.0811,-0.1398,0.3572,0.3919,-0.1551,0.3965,0.0048,-0.2416,-0.1604,0.1186,98,0,97,1,2.2874,138.76558,5.949,3.5778623,95,0,,1.0253,0.5144,-0.076,0.219,0.054,0.082,0.047,11,10,3.698092,11,3,1,0.033860847,114.331665,0,0,1.17,0.1577077,0.1361964,0.1986305,0.019768868,-63.401,-74.109,-9.511,-17.942,0,95,79.64918,1.1004122,72.381226,20.934414,0.015251,4,38.112025303267195,4.960733,7.6827407,21.385887,0.141349,8,84.90388149089183,8.828269,9.617274,19.925577,0.112958,1.544,0,1,0,0,0,1.46031,0.451473,1.008837,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",276.33405373583,9.52074054426,179.94554383278,-50.66778544035,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.06617915662,-45.18755815642,37.475798,39.308662,0.0861
